"subpartida,grupo,subgrupo,producto,documentación,descripción_doc,fuente_doc,tipo_cuidado,descr_cuidado,fuente_cuid,etiquetado,fuente_etiq"
"0101,Animales vivos,Mamíferos,Caballo,Certificado sanitario,Documento que certifica la salud del animal.,Ministerio de Salud,Alimentación,Proveer alimentación adecuada.,FAO,Etiquetado animal,Regulaciones locales"
"0201,Carnes,Carnes frescas,Carne de vacuno,Guía de transporte,Documento que certifica el transporte adecuado.,Ministerio de Transporte,Temperatura,Almacenar a -18°C.,OMS,Etiquetado alimentario,Normas internacionales"
"0301,Pescados,Pescados vivos,Salmón,Certificado de origen,Documento que certifica el origen del pescado.,Ministerio de Agricultura,Condiciones de agua,Manter agua a 4°C.,FAO,Etiquetado de pesca,Regulaciones de pesca"
"0401,Productos lácteos,Leche,Leche cruda,Certificado de calidad,Documento que certifica la calidad del producto.,Ministerio de Salud,Conservación,Mantener refrigerado a 4°C.,OMS,Etiquetado lácteo,Normas internacionales"
"0501,Productos vegetales,Frutas,Manzana,Certificado fitosanitario,Documento que certifica la sanidad de la fruta.,Ministerio de Agricultura,Pesticidas,Evitar pesticidas nocivos.,FAO,Etiquetado agrícola,Regulaciones locales"
"0601,Semillas y frutos,Semillas de cereales,Trigo,Certificado de inspección,Documento que certifica la inspección de las semillas.,Ministerio de Agricultura,Almacenamiento,Almacenar en lugar seco.,FAO,Etiquetado de semillas,Normas internacionales"
"0701,Vegetales frescos,Raíces,Patata,Certificado de cultivo,Documento que certifica el método de cultivo.,Ministerio de Agricultura,Suelo,Usar suelo adecuado.,FAO,Etiquetado vegetal,Regulaciones locales"
"0801,Frutas secas,Nueces,Almendra,Certificado de calidad,Documento que certifica la calidad del producto.,Ministerio de Salud,Secado,Secar a temperatura controlada.,OMS,Etiquetado de frutos secos,Normas internacionales"
"0901,Café y té,Café,Café verde,Certificado de origen,Documento que certifica el origen del café.,Ministerio de Agricultura,Tostado,Tostar a 200°C.,FAO,Etiquetado de café,Regulaciones locales"
"1001,Cereales,Arroz,Arroz integral,Certificado de pureza,Documento que certifica la pureza del cereal.,Ministerio de Agricultura,Proceso,Procesar adecuadamente.,FAO,Etiquetado de cereales,Normas internacionales"
